f,5,25,50,25
f,5,25,45,25
f,5,5,40,5
f,5,5,35,5
f,5,5,30,5
f,5,5,25,25
f,5,5,20,5
f,5,5,15,5
f,5,5,10,5
f,5,25,5,25
r,0,5,25,45
f,5,5,20,5
f,5,5,15,5
f,5,5,10,5
f,5,5,5,45
r,0,5,45,45
f,5,5,40,5
f,5,5,35,5
f,5,5,30,5
f,5,5,25,25
f,5,5,20,5
f,5,5,15,5
f,5,5,10,5
f,5,5,5,45
r,0,5,45,45
f,5,5,40,5
f,5,5,35,5
f,5,5,30,5
f,5,5,25,45
f,5,5,20,5
f,5,5,15,5
f,5,5,10,5
f,5,5,5,45
r,0,5,45,45
f,5,5,40,5
f,5,5,35,5
f,5,5,30,5
f,5,5,25,5
f,5,5,20,5
f,5,5,15,5
f,5,5,10,5
f,5,5,5,45
r,0,5,45,45
f,5,5,40,5
f,5,5,35,5
f,5,5,30,5
